,Attribute,Mean,Std Dev,Min,Q1,Median,Q3,Max
0,Homework 1,37.646214099216714,7.146465103374112,0.0,37.0,40.0,42.0,42.0
1,Homework 2,37.85919165580182,6.228670796740497,0.0,37.0,40.0,41.0,42.0
2,Homework 3,37.33905013192612,6.788732722219965,-7.0,36.0,40.0,42.0,42.0
3,Homework 4,37.8289124668435,6.618730926886502,-3.0,37.0,40.0,42.0,42.0
4,Homework 5,39.78407557354926,6.2082018897696845,0.0,40.0,42.0,42.0,42.0
5,Peer Evaluations,146.59126344086022,16.174447740001646,1.0,150.0,150.0,150.0,150.0
6,Quiz 01,38.64928292046936,11.306772272626734,5.0,30.0,43.0,49.0,50.0
7,Quiz 02,42.76912928759894,9.904997114761972,0.0,39.0,46.0,50.0,50.0
8,Quiz 03,34.319426336375486,10.792141893951172,1.0,28.0,37.0,42.0,50.0
9,Quiz 04,41.817819148936174,8.487321679213176,0.0,39.0,45.0,48.0,50.0
10,Quiz 05,36.63489932885906,11.710529456760296,0.0,30.0,40.0,46.0,50.0
11,Quiz 06,34.118528610354225,11.671052711923396,2.0,26.0,37.0,43.0,50.0
12,Quiz 07,34.38335607094134,13.01637529593258,0.0,25.0,37.0,46.0,50.0
13,Quiz 08,32.702445652173914,14.180505391177705,0.0,23.0,36.0,44.0,50.0
14,Quiz 09,30.291156462585032,12.32649336991868,0.0,21.0,30.0,40.0,50.0
15,Quiz 10,31.05608755129959,11.487261749606073,0.0,23.0,32.0,41.0,50.0
16,Quiz 11,37.78174037089872,14.83939730026181,0.0,31.0,44.0,50.0,50.0
17,Quiz 12,36.822695035460995,15.3291469869237,0.0,28.0,43.0,50.0,50.0
18,Final Exam,109.55047106325706,21.057182204396103,24.0,99.0,114.0,126.0,147.0
